姓,人数,百分比
王,482,8.513%
李,475,8.389%
张,412,7.277%
刘,297,5.245%
杨,208,3.674%
陈,197,3.479%
赵,140,2.473%
孙,118,2.084%
周,113,1.996%
马,99,1.748%
吴,96,1.696%
郭,94,1.66%
徐,86,1.519%
黄,73,1.289%
宋,67,1.183%
朱,62,1.095%
胡,55,0.971%
郑,55,0.971%
高,52,0.918%
韩,44,0.777%
曹,41,0.724%
何,41,0.724%
董,39,0.689%
任,38,0.671%
冯,37,0.653%
汪,36,0.636%
许,35,0.618%
杜,34,0.6%
袁,34,0.6%
田,34,0.6%
于,34,0.6%
唐,34,0.6%
魏,34,0.6%
程,33,0.583%
崔,33,0.583%
林,32,0.565%
罗,31,0.548%
贾,31,0.548%
孟,31,0.548%
谢,30,0.53%
姜,28,0.495%
肖,27,0.477%
范,27,0.477%
吕,26,0.459%
邓,26,0.459%
苏,25,0.442%
潘,25,0.442%
蔡,25,0.442%
梁,24,0.424%
卢,24,0.424%
沈,23,0.406%
彭,23,0.406%
余,21,0.371%
闫,21,0.371%
孔,20,0.353%
曾,20,0.353%
石,19,0.336%
侯,19,0.336%
姚,19,0.336%
雷,18,0.318%
乔,17,0.3%
谭,17,0.3%
江,17,0.3%
叶,16,0.283%
丁,16,0.283%
秦,16,0.283%
翟,16,0.283%
金,16,0.283%
夏,16,0.283%
方,15,0.265%
武,15,0.265%
蒋,15,0.265%
付,15,0.265%
廖,14,0.247%
樊,14,0.247%
贺,14,0.247%
龚,14,0.247%
段,13,0.23%
白,13,0.23%
万,13,0.23%
薛,13,0.23%
尹,13,0.23%
邱,13,0.23%
陆,13,0.23%
邹,13,0.23%
钟,12,0.212%
康,12,0.212%
毛,12,0.212%
邵,12,0.212%
熊,12,0.212%
史,12,0.212%
葛,11,0.194%
韦,11,0.194%
岳,11,0.194%
洪,10,0.177%
申,10,0.177%
向,10,0.177%
钱,10,0.177%
安,10,0.177%
郝,10,0.177%
苗,9,0.159%
陶,9,0.159%
鲁,9,0.159%
庞,9,0.159%
司,9,0.159%
纪,8,0.141%
殷,8,0.141%
辛,8,0.141%
邢,8,0.141%
戴,8,0.141%
汤,8,0.141%
齐,8,0.141%
顾,8,0.141%
常,7,0.124%
甘,7,0.124%
舒,7,0.124%
章,7,0.124%
宁,7,0.124%
施,7,0.124%
欧,7,0.124%
路,7,0.124%
尚,7,0.124%
柴,6,0.106%
詹,6,0.106%
牛,6,0.106%
窦,6,0.106%
傅,6,0.106%
倪,6,0.106%
谷,6,0.106%
阿,6,0.106%
鞠,6,0.106%
房,6,0.106%
盛,6,0.106%
左,6,0.106%
宫,6,0.106%
包,5,0.088%
易,5,0.088%
穆,5,0.088%
原,5,0.088%
荆,5,0.088%
莫,5,0.088%
蒲,5,0.088%
褚,5,0.088%
解,5,0.088%
伍,5,0.088%
代,5,0.088%
连,5,0.088%
曲,5,0.088%
边,5,0.088%
霍,5,0.088%
阮,5,0.088%
骆,5,0.088%
文,5,0.088%
严,5,0.088%
颜,5,0.088%
龙,5,0.088%
艾,4,0.071%
成,4,0.071%
刁,4,0.071%
温,4,0.071%
党,4,0.071%
师,4,0.071%
耿,4,0.071%
饶,4,0.071%
关,4,0.071%
栾,4,0.071%
裴,4,0.071%
季,4,0.071%
焦,4,0.071%
乐,4,0.071%
冉,4,0.071%
宗,4,0.071%
晏,4,0.071%
时,4,0.071%
景,4,0.071%
车,4,0.071%
卓,4,0.071%
牟,4,0.071%
匡,4,0.071%
祁,3,0.053%
冷,3,0.053%
兰,3,0.053%
冀,3,0.053%
祝,3,0.053%
盖,3,0.053%
管,3,0.053%
戚,3,0.053%
翁,3,0.053%
全,3,0.053%
聂,3,0.053%
臧,3,0.053%
蔚,3,0.053%
俞,3,0.053%
覃,3,0.053%
屈,3,0.053%
仲,3,0.053%
逯,3,0.053%
都,3,0.053%
闻,3,0.053%
靳,3,0.053%
喻,3,0.053%
燕,3,0.053%
巩,3,0.053%
南,3,0.053%
单,3,0.053%
桑,3,0.053%
柯,3,0.053%
明,3,0.053%
梅,3,0.053%
涂,3,0.053%
敖,3,0.053%
胥,2,0.035%
热,2,0.035%
佘,2,0.035%
姬,2,0.035%
隋,2,0.035%
谌,2,0.035%
仝,2,0.035%
位,2,0.035%
毕,2,0.035%
华,2,0.035%
帅,2,0.035%
阳,2,0.035%
檀,2,0.035%
柳,2,0.035%
花,2,0.035%
蔺,2,0.035%
苑,2,0.035%
郗,2,0.035%
裘,2,0.035%
荀,2,0.035%
楚,2,0.035%
荣,2,0.035%
门,2,0.035%
古,2,0.035%
虞,2,0.035%
昝,2,0.035%
卞,2,0.035%
糜,2,0.035%
敬,2,0.035%
郁,2,0.035%
廉,2,0.035%
邬,2,0.035%
应,2,0.035%
寇,2,0.035%
黎,2,0.035%
丛,2,0.035%
麻,2,0.035%
麦,2,0.035%
轩,2,0.035%
庄,2,0.035%
尤,2,0.035%
皇,2,0.035%
展,2,0.035%
项,2,0.035%
别,2,0.035%
官,2,0.035%
么,2,0.035%
权,2,0.035%
支,2,0.035%
沙,2,0.035%
费,2,0.035%
奚,2,0.035%
童,2,0.035%
