院系所代码,院系所名称,人数,人数占比,人数排名
90,工程科学学院,317,5.76%,1
87,经济与管理学院,310,5.63%,2
139,长春光学精密机械与物理研究所,151,2.74%,3
186,信息工程研究所,129,2.34%,4
177,深圳先进技术研究院,119,2.16%,5
202,微电子学院,106,1.93%,6
138,上海微系统与信息技术研究所,87,1.58%,7
142,西安光学精密机械研究所,84,1.53%,8
42,生态环境研究中心,81,1.47%,9
68,海洋研究所,80,1.45%,10
76,西北生态环境资源研究院,77,1.4%,11
105,植物研究所,75,1.36%,12
165,广州地球化学研究所,71,1.29%,13
102,新疆生态与地理研究所,69,1.25%,14
14,上海应用物理研究所,68,1.24%,15
119,水生生物研究所,68,1.24%,16
96,公共政策与管理学院,66,1.2%,17
32,化学研究所,65,1.18%,18
9,高能物理研究所,65,1.18%,19
151,光电技术研究所,62,1.13%,20
140,上海光学精密机械研究所,61,1.11%,21
69,南海海洋研究所,61,1.11%,22
70,遥感与数字地球研究所,61,1.11%,23
38,大连化学物理研究所,60,1.09%,24
127,沈阳应用生态研究所,60,1.09%,25
60,地理科学与资源研究所,60,1.09%,26
107,华南植物园,59,1.07%,27
30,理化技术研究所,58,1.05%,28
143,上海技术物理研究所,58,1.05%,29
174,宁波材料技术与工程研究所,57,1.04%,30
132,计算技术研究所,57,1.04%,31
106,昆明植物研究所,55,1.0%,32
65,地球化学研究所,55,1.0%,33
43,山西煤炭化学研究所,55,1.0%,34
94,中丹学院,54,0.98%,35
45,福建物质结构研究所,54,0.98%,36
110,成都生物研究所,53,0.96%,37
41,过程工程研究所,52,0.94%,38
20,武汉物理与数学研究所,50,0.91%,39
17,近代物理研究所,49,0.89%,40
58,大气物理研究所,48,0.87%,41
136,半导体研究所,47,0.85%,42
39,兰州化学物理研究所,47,0.85%,43
173,国家纳米科学中心,47,0.85%,44
123,上海药物研究所,47,0.85%,45
133,沈阳计算技术研究所,46,0.84%,46
10,声学研究所,45,0.82%,47
28,新疆理化技术研究所,45,0.82%,48
73,国家空间科学中心,43,0.78%,49
103,动物研究所,43,0.78%,50
8,物理研究所,42,0.76%,51
95,华大教育中心,40,0.73%,52
113,微生物研究所,40,0.73%,53
147,沈阳自动化研究所,40,0.73%,54
128,西双版纳热带植物园,39,0.71%,55
184,上海高等研究院,39,0.71%,56
75,地质与地球物理研究所,39,0.71%,57
104,昆明动物研究所,39,0.71%,58
159,微电子研究所,38,0.69%,59
125,心理研究所,35,0.64%,60
112,生物物理研究所,35,0.64%,61
149,广州能源研究所,35,0.64%,62
137,电子学研究所,34,0.62%,63
148,电工研究所,34,0.62%,64
82,化学科学学院,33,0.6%,65
150,软件研究所,33,0.6%,66
7,力学研究所,33,0.6%,67
40,上海硅酸盐研究所,31,0.56%,68
167,北京基因组研究所,30,0.54%,69
122,西北高原生物研究所,29,0.53%,70
124,武汉病毒研究所,29,0.53%,71
63,成都山地灾害与环境研究所,29,0.53%,72
153,成都计算机应用研究所,29,0.53%,73
36,成都有机化学研究所,28,0.51%,74
46,青海盐湖研究所,28,0.51%,75
146,自动化研究所,28,0.51%,76
126,南京土壤研究所,28,0.51%,77
135,工程热物理研究所,28,0.51%,78
172,光电研究院,27,0.49%,79
24,国家授时中心,27,0.49%,80
25,国家天文台,27,0.49%,81
121,遗传与发育生物学研究所,25,0.45%,82
92,材料科学与光电技术学院,24,0.44%,83
62,东北地理与农业生态研究所,24,0.44%,84
84,资源与环境学院,23,0.42%,85
23,云南天文台,23,0.42%,86
179,青岛生物能源与过程研究所,22,0.4%,87
171,青藏高原研究所,22,0.4%,88
160,计算机网络信息中心,22,0.4%,89
156,遗传与发育生物学研究所农业资源研究中心,22,0.4%,90
2,数学与系统科学研究院,22,0.4%,91
129,水土保持与生态环境研究中心,21,0.38%,92
85,生命科学学院,21,0.38%,93
33,广州化学研究所,21,0.38%,94
83,地球与行星科学学院,21,0.38%,95
162,亚热带农业生态研究所,21,0.38%,96
22,上海天文台,20,0.36%,97
180,烟台海岸带研究所,20,0.36%,98
158,地球环境研究所,19,0.35%,99
57,测量与地球物理研究所,19,0.35%,100
89,外语系,19,0.35%,101
187,空间应用工程与技术中心,18,0.33%,102
88,人文学院,18,0.33%,103
35,上海有机化学研究所,18,0.33%,104
108,武汉植物园,17,0.31%,105
181,城市环境研究所,16,0.29%,106
18,南京天文光学技术研究所,15,0.27%,107
175,广州生物医药与健康研究院,15,0.27%,108
188,深海科学与工程研究所,14,0.25%,109
81,物理科学学院,14,0.25%,110
5,武汉岩土力学研究所,14,0.25%,111
61,南京地理与湖泊研究所,13,0.24%,112
27,渗流流体力学研究所,13,0.24%,113
166,新疆天文台,12,0.22%,114
185,重庆绿色智能技术研究院,12,0.22%,115
182,天津工业生物技术研究所,11,0.2%,116
93,电子电气与通信工程学院,11,0.2%,117
54,古脊椎动物与古人类研究所,10,0.18%,118
155,文献情报中心,10,0.18%,119
86,计算机与控制学院,9,0.16%,120
164,科技战略咨询研究院,9,0.16%,121
26,声学研究所东海研究站,9,0.16%,122
12,理论物理研究所,9,0.16%,123
80,数学科学学院,9,0.16%,124
29,自然科学史研究所,8,0.15%,125
200,医学院,6,0.11%,126
19,长春人造卫星观测站,2,0.04%,127
