,招生单位代码,招生单位名称,院系所代码,院系所名称
1,14430,中国科学院大学,002,数学与系统科学研究院
2,14430,中国科学院大学,005,武汉岩土力学研究所
3,14430,中国科学院大学,007,力学研究所
4,14430,中国科学院大学,008,物理研究所
5,14430,中国科学院大学,009,高能物理研究所
6,14430,中国科学院大学,010,声学研究所
7,14430,中国科学院大学,012,理论物理研究所
8,14430,中国科学院大学,014,上海应用物理研究所
9,14430,中国科学院大学,017,近代物理研究所
10,14430,中国科学院大学,018,南京天文光学技术研究所
11,14430,中国科学院大学,019,长春人造卫星观测站
12,14430,中国科学院大学,020,武汉物理与数学研究所
13,14430,中国科学院大学,022,上海天文台
14,14430,中国科学院大学,023,云南天文台
15,14430,中国科学院大学,024,国家授时中心
16,14430,中国科学院大学,025,国家天文台
17,14430,中国科学院大学,026,声学研究所东海研究站
18,14430,中国科学院大学,027,渗流流体力学研究所
19,14430,中国科学院大学,028,新疆理化技术研究所
20,14430,中国科学院大学,029,自然科学史研究所
21,14430,中国科学院大学,030,理化技术研究所
22,14430,中国科学院大学,032,化学研究所
23,14430,中国科学院大学,033,广州化学研究所
24,14430,中国科学院大学,035,上海有机化学研究所
25,14430,中国科学院大学,036,成都有机化学研究所
26,14430,中国科学院大学,038,大连化学物理研究所
27,14430,中国科学院大学,039,兰州化学物理研究所
28,14430,中国科学院大学,040,上海硅酸盐研究所
29,14430,中国科学院大学,041,过程工程研究所
30,14430,中国科学院大学,042,生态环境研究中心
31,14430,中国科学院大学,043,山西煤炭化学研究所
32,14430,中国科学院大学,045,福建物质结构研究所
33,14430,中国科学院大学,046,青海盐湖研究所
34,14430,中国科学院大学,054,古脊椎动物与古人类研究所
35,14430,中国科学院大学,055,南京地质古生物研究所
36,14430,中国科学院大学,057,测量与地球物理研究所
37,14430,中国科学院大学,058,大气物理研究所
38,14430,中国科学院大学,060,地理科学与资源研究所
39,14430,中国科学院大学,061,南京地理与湖泊研究所
40,14430,中国科学院大学,062,东北地理与农业生态研究所
41,14430,中国科学院大学,063,成都山地灾害与环境研究所
42,14430,中国科学院大学,065,地球化学研究所
43,14430,中国科学院大学,068,海洋研究所
44,14430,中国科学院大学,069,南海海洋研究所
45,14430,中国科学院大学,070,遥感与数字地球研究所
46,14430,中国科学院大学,073,国家空间科学中心
47,14430,中国科学院大学,075,地质与地球物理研究所
48,14430,中国科学院大学,076,西北生态环境资源研究院
49,14430,中国科学院大学,080,数学科学学院
50,14430,中国科学院大学,081,物理科学学院
51,14430,中国科学院大学,082,化学科学学院
52,14430,中国科学院大学,083,地球与行星科学学院
53,14430,中国科学院大学,084,资源与环境学院
54,14430,中国科学院大学,085,生命科学学院
55,14430,中国科学院大学,086,计算机与控制学院
56,14430,中国科学院大学,087,经济与管理学院
57,14430,中国科学院大学,088,人文学院
58,14430,中国科学院大学,089,外语系
59,14430,中国科学院大学,090,工程科学学院
60,14430,中国科学院大学,092,材料科学与光电技术学院
61,14430,中国科学院大学,093,电子电气与通信工程学院
62,14430,中国科学院大学,094,中丹学院
63,14430,中国科学院大学,095,华大教育中心
64,14430,中国科学院大学,096,公共政策与管理学院
65,14430,中国科学院大学,102,新疆生态与地理研究所
66,14430,中国科学院大学,103,动物研究所
67,14430,中国科学院大学,104,昆明动物研究所
68,14430,中国科学院大学,105,植物研究所
69,14430,中国科学院大学,106,昆明植物研究所
70,14430,中国科学院大学,107,华南植物园
71,14430,中国科学院大学,108,武汉植物园
72,14430,中国科学院大学,110,成都生物研究所
73,14430,中国科学院大学,112,生物物理研究所
74,14430,中国科学院大学,113,微生物研究所
75,14430,中国科学院大学,119,水生生物研究所
76,14430,中国科学院大学,121,遗传与发育生物学研究所
77,14430,中国科学院大学,122,西北高原生物研究所
78,14430,中国科学院大学,123,上海药物研究所
79,14430,中国科学院大学,124,武汉病毒研究所
80,14430,中国科学院大学,125,心理研究所
81,14430,中国科学院大学,126,南京土壤研究所
82,14430,中国科学院大学,127,沈阳应用生态研究所
83,14430,中国科学院大学,128,西双版纳热带植物园
84,14430,中国科学院大学,129,水土保持与生态环境研究中心
85,14430,中国科学院大学,132,计算技术研究所
86,14430,中国科学院大学,133,沈阳计算技术研究所
87,14430,中国科学院大学,135,工程热物理研究所
88,14430,中国科学院大学,136,半导体研究所
89,14430,中国科学院大学,137,电子学研究所
90,14430,中国科学院大学,138,上海微系统与信息技术研究所
91,14430,中国科学院大学,139,长春光学精密机械与物理研究所
92,14430,中国科学院大学,140,上海光学精密机械研究所
93,14430,中国科学院大学,142,西安光学精密机械研究所
94,14430,中国科学院大学,143,上海技术物理研究所
95,14430,中国科学院大学,146,自动化研究所
96,14430,中国科学院大学,147,沈阳自动化研究所
97,14430,中国科学院大学,148,电工研究所
98,14430,中国科学院大学,149,广州能源研究所
99,14430,中国科学院大学,150,软件研究所
100,14430,中国科学院大学,151,光电技术研究所
101,14430,中国科学院大学,153,成都计算机应用研究所
102,14430,中国科学院大学,155,文献情报中心
103,14430,中国科学院大学,156,遗传与发育生物学研究所农业资源研究中心
104,14430,中国科学院大学,158,地球环境研究所
105,14430,中国科学院大学,159,微电子研究所
106,14430,中国科学院大学,160,计算机网络信息中心
107,14430,中国科学院大学,162,亚热带农业生态研究所
108,14430,中国科学院大学,164,科技战略咨询研究院
109,14430,中国科学院大学,165,广州地球化学研究所
110,14430,中国科学院大学,166,新疆天文台
111,14430,中国科学院大学,167,北京基因组研究所
112,14430,中国科学院大学,171,青藏高原研究所
113,14430,中国科学院大学,172,光电研究院
114,14430,中国科学院大学,173,国家纳米科学中心
115,14430,中国科学院大学,174,宁波材料技术与工程研究所
116,14430,中国科学院大学,175,广州生物医药与健康研究院
117,14430,中国科学院大学,176,上海巴斯德研究所
118,14430,中国科学院大学,177,深圳先进技术研究院
119,14430,中国科学院大学,179,青岛生物能源与过程研究所
120,14430,中国科学院大学,180,烟台海岸带研究所
121,14430,中国科学院大学,181,城市环境研究所
122,14430,中国科学院大学,182,天津工业生物技术研究所
123,14430,中国科学院大学,184,上海高等研究院
124,14430,中国科学院大学,185,重庆绿色智能技术研究院
125,14430,中国科学院大学,186,信息工程研究所
126,14430,中国科学院大学,187,空间应用工程与技术中心
127,14430,中国科学院大学,188,深海科学与工程研究所
128,14430,中国科学院大学,189,分子细胞科学卓越创新中心（生物化学与细胞生物学研究所）
129,14430,中国科学院大学,190,脑科学与智能技术卓越创新中心（神经科学研究所）
130,14430,中国科学院大学,191,分子植物科学卓越创新中心（植物生理生态研究所）
131,14430,中国科学院大学,192,上海营养与健康研究院
132,14430,中国科学院大学,193,微小卫星创新研究院
133,14430,中国科学院大学,200,医学院
134,14430,中国科学院大学,202,微电子学院
135,14430,中国科学院大学,204,未来技术学院
136,14430,中国科学院大学,206,人工智能学院
137,14430,中国科学院大学,212,纳米科学与技术学院
