,article_name,article_id,article_type,create_date,read_num,comment_num,article_url,record_time
2018-12-29 00:00:00,rails官方指南--建一个简易博客,78821492,原,2017-12-16 19:14:24,阅读数：1602,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2018-12-29 17:25:30
2018-12-30 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1606,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2018-12-30 14:06:33
2018-12-31 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1615,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2018-12-31 18:45:51
2019-01-01 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1621,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-01 16:07:03
2019-01-02 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1636,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-02 16:47:04
2019-01-03 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1650,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-03 16:15:25
2019-01-04 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1659,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-04 16:15:54
2019-01-05 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1690,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-05 20:00:36
2019-01-06 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1705,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-06 18:54:52
2019-01-07 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1725,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-07 16:13:04
2019-01-08 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1751,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-08 17:30:18
2019-01-09 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1770,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-09 16:33:22
2019-01-10 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1796,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-10 16:13:49
2019-01-12 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1845,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-12 19:25:41
2019-01-13 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1856,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-13 16:20:54
2019-01-14 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1885,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-14 21:36:24
2019-01-15 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1911,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-15 21:33:13
2019-01-16 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1932,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-16 21:16:29
2019-01-17 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1977,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-17 22:53:16
2019-01-18 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：1996,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-18 20:00:32
2019-01-19 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数：2011,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-01-19 20:11:56
2019-02-14 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数 2259 ,2259,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-02-14 23:01:52
2019-02-15 00:00:00,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数 2271 ,2271,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-02-15 22:00:07
2019-02-16,article_id,rails官方指南--建一个简易博客,原,2017-12-16 19:14:24,阅读数 2277 ,2277,https://blog.csdn.net/liuchengzimozigreat/article/details/78821492,2019-02-16 19:06:02
