,article_id,article_name,article_type,create_date,read_num,comment_num,article_url,record_time
2019-01-05 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：13,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-05 20:00:36
2019-01-06 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：30,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-06 18:54:52
2019-01-07 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：44,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-07 16:13:04
2019-01-08 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：72,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-08 17:30:18
2019-01-09 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：88,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-09 16:33:22
2019-01-10 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：101,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-10 16:13:49
2019-01-12 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：111,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-12 19:25:41
2019-01-13 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：115,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-13 16:20:54
2019-01-14 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：115,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-14 21:36:24
2019-01-15 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：118,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-15 21:33:13
2019-01-16 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：120,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-16 21:16:29
2019-01-17 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：123,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-17 22:53:16
2019-01-18 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：125,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-18 20:00:32
2019-01-19 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数：128,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-01-19 20:11:56
2019-02-14 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数 150 ,150,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-02-14 23:01:52
2019-02-15 00:00:00,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数 150 ,150,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-02-15 22:00:07
2019-02-16,article_id,有趣的机器学习——莫烦教程学习记录,原,2019-01-05 09:56:16,阅读数 151 ,151,https://blog.csdn.net/liuchengzimozigreat/article/details/85835896,2019-02-16 19:06:02
