date,self_article_num,fans_num,like_num,comment_num,grade,read_num,earn_points,rank,record_time
2018-12-29,24,2,5,4,2级,7556,326,289599,2018/12/29 17:25
2018-12-30,25,2,5,4,2级,7659,336,274003,2018/12/30 14:06
2018-12-31,26,2,5,4,2级,7774,346,267738,2018/12/31 18:45
2019-01-01,26,2,5,4,2级,7840,346,260817,2019/1/1 16:07
2019-01-02,27,2,5,4,2级,8180,359,260542,2019/1/2 16:47
2019-01-03,27,2,5,4,2级,8360,360,250927,2019/1/3 16:15
2019-01-04,27,2,5,4,2级,8484,362,246355,2019/1/4 16:15
2019-01-05,28,2,5,4,2级,8656,374,245814,2019/1/5 20:00
2019-01-06,28,2,5,4,2级,8748,375,237876,2019/1/6 18:54
2019-01-07,28,2,5,4,2级,8843,375,237626,2019/1/7 16:13
2019-01-08,28,2,5,4,2级,8997,376,237751,2019/1/8 17:30
2019-01-09,28,2,6,4,2级,9152,378,237243,2019/1/9 16:33
2019-01-10,28,2,6,4,2级,9302,379,237098,2019/1/10 16:13
2019-01-12,29,3,6,4,2级,9539,394,215704,2019/1/12 19:25
2019-01-13,29,3,6,4,2级,9616,394,215801,2019/1/13 16:20
2019-01-14,29,4,6,4,2级,9755,394,215871,2019/1/14 21:36
2019-01-15,29,3,6,4,2级,9906,397,216011,2019/1/15 21:33
2019-01-16,29,4,6,4,2级,10029,399,215280,2019/1/16 21:16
2019-01-17,29,4,7,4,2级,10189,400,214841,2019/1/17 22:53
2019-01-18,29,4,7,4,2级,10310,401,202894,2019/1/18 20:00
2019-01-19,29,5,7,4,2级,10385,403,149663,2019/1/19 20:11
2019-02-14,29,5,7,4,2级,12298,421,146569,2019/2/14 23:01
2019-02-15,30,5,7,4,2级,12382,432,145683,2019/2/15 22:00
2019-02-16,30,5,7,4,2级,12437,433,143050,2019/2/16 19:06
2019-03-01,31,5,8,4,2级,14141,466,136223,2019/3/1 10:43
2019-03-20,30,9,11,13,3级,18473,507,129565,2019/3/20 19:35
2019-03-21,30,9,11,13,3级,18713,508,129297,2019/3/21 17:00
2019-03-24,32,9,11,13,3级,19472,534,124300,2019/3/24 16:27
2019-03-25,32,9,11,15,3级,19841,536,124016,2019-03-25 22:19:49
2019-03-26,32,9,11,16,3级,20140,541,123783,2019-03-26 22:29:01
2019-03-27,33,9,11,16,3级,20466,553,121036,2019-03-27 22:56:05
2019-03-28,33,9,11,16,3级,20794,559,120816,2019-03-28 22:38:52
2019-04-01,33,9,11,16,3级,21703,569,119559,2019-04-01 23:29:26
2019-04-02,33,9,11,16,3级,21966,569,118723,2019-04-02 21:40:30
